drug;gene_symbol;alteration;exact_alteration;mutation_specification
Vandetanib;ABL1;SNV;;
Vandetanib;ABL2;SNV;;
AZD2014;AKT2;CNA;amplification;
AZD2014;AKT3;CNA;amplification;
AZD2014;BRAF;SNV;;
olaparib;BRCA1;SNV;;
Vandetanib;EGFR;SNV;;
Vandetanib;ERBB3;SNV;;
Vandetanib;KDR;SNV;;
Vandetanib;KIT;SNV;;
Selumetinib;MAP2K2;CNA;amplification;
Selumetinib;MAP2K3;CNA;amplification;
Selumetinib;MAP3K11;CNA;amplification;
Selumetinib;TAOK1;CNA;amplification;
Selumetinib;TAOK2;CNA;amplification;
Selumetinib;MAP3K7;CNA;amplification;
Selumetinib;MAP3K8;CNA;amplification;
AZD2014;MTOR;SNV;;
AZD2014;NF2;SNV;;
AZD2014;NOTCH1;SNV;;
AZD2014;PIK3AP1;SNV;;
AZD2014;PIK3C2A;SNV;;
AZD2014;PIK3C2B;SNV;;
AZD2014;PIK3C2G;SNV;;
AZD2014;PIK3C3;SNV;;
AZD2014;PIK3CB;SNV;;
AZD2014;PIK3CD;SNV;;
AZD2014;PIK3CG;SNV;;
AZD2014;PIK3IP1;SNV;;
AZD2014;PIK3R2;SNV;;
AZD2014;PIK3R3;SNV;;
AZD2014;PIK3R4;SNV;;
AZD2014;PIK3R5;SNV;;
AZD2014;PIK3R6;SNV;;
Vandetanib;RET;CNA;amplification;
AZD2014;STK11;CNA;deletion;
AZD2014;TSC1;CNA;deletion;
AZD2014;TSC2;CNA;deletion;
AZD2014;AKT1;CNA;amplification;
olaparib;BRCA2;CNA;deletion;
Vandetanib;ERBB2;CNA;amplification;
Selumetinib;MAP2K4;SNV;;
Selumetinib;MAP3K1;SNV;;
AZD2014;NF1;SNV;;
AZD2014;PIK3CA;SNV;;
AZD2014;PIK3R1;SNV;;
AZD2014;PTEN;CNA;deletion;
AZD2014;AKT2;SNV;;
AZD2014;AKT3;SNV;;
Selumetinib;MAP2K2;SNV;;
Selumetinib;MAP2K3;SNV;;
Selumetinib;MAP3K11;SNV;;
Selumetinib;TAOK1;SNV;;
Selumetinib;TAOK2;SNV;;
Selumetinib;MAP3K7;SNV;;
Selumetinib;MAP3K8;SNV;;
Vandetanib;RET;SNV;;
AZD2014;STK11;SNV;;
AZD2014;TSC1;SNV;;
AZD2014;TSC2;SNV;;
AZD2014;AKT1;SNV;;
olaparib;BRCA2;SNV;;
Vandetanib;ERBB2;SNV;;
AZD2014;PTEN;SNV;;
